id,familia,ticker,pregunta,respuesta_esperada,respuesta
g-n01,numerica,NVDA,¿Cuál fue el beneficio neto (net income) de NVIDIA en el ejercicio fiscal 2025?,"72,880,000,000 USD",El beneficio neto (Net Income) de NVIDIA en el ejercicio fiscal 2025 fue de 72.880 millones de dólares (72.880.000.000 USD).
g-n02,numerica,AAPL,¿Cuál fue el beneficio neto de Apple en el ejercicio fiscal 2025?,"112,010,000,000 USD",El beneficio neto (Net Income) de Apple en el ejercicio fiscal 2025 fue de 112.010.000.000 USD (112.010 millones de dólares).
g-n03,numerica,MSFT,¿Cuál fue el resultado operativo (operating income) de Microsoft en el ejercicio fiscal 2024?,"109,433,000,000 USD",El resultado operativo (operating income) de Microsoft en el ejercicio fiscal 2024 fue de 109.433.000.000 USD (109.433 millones de dólares).
g-n04,numerica,GOOGL,¿Cuáles fueron los ingresos totales (revenue) de Alphabet en el ejercicio fiscal 2025?,"402,836,000,000 USD",Los ingresos totales (Revenues) de Alphabet en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).
g-n05,numerica,AMZN,¿Cuál fue el beneficio neto de Amazon en el ejercicio fiscal 2025?,"77,670,000,000 USD",El beneficio neto (Net Income) de Amazon en el ejercicio fiscal 2025 fue de 77.670 millones de dólares (77.670.000.000 USD).
g-n06,numerica,META,¿Cuánto gastó Meta en investigación y desarrollo (R&D) en el ejercicio fiscal 2024?,"43,873,000,000 USD","En el ejercicio fiscal 2024, Meta gastó 43.873 millones de dólares (43.873.000.000 USD) en investigación y desarrollo (R&D), lo que representó un incremento del 14% respecto al ejercicio anterior."
g-n07,numerica,NVDA,¿Cuál fue el beneficio bruto (gross profit) de NVIDIA en el ejercicio fiscal 2025?,"97,858,000,000 USD",El beneficio bruto (gross profit) de NVIDIA en el ejercicio fiscal 2025 fue de 97.858.000.000 USD (aproximadamente 97.858 millones de dólares).
g-e01,extractiva,AAPL,¿Qué estrategia de competencia describe Apple que usan algunos de sus competidores en su 10-K de FY2024?,"In contrast, many of the Company’s competitors seek to compete primarily through aggressive pricing and very low cost structures, and by imitating the Company’s products and infringing on its intellectual property.","En su 10-K de FY2024 (Item 1A), Apple describe que muchos de sus competidores emplean las siguientes estrategias de competencia:

1. **Precios agresivos y estructuras de muy bajo coste:** Reducen agresivamente los precios y reducen márgenes; algunos competidores cuentan con recursos, experiencia o estructuras de costes que les permiten ofrecer productos con poco o ningún beneficio, o incluso a pérdida.
2. **Imitación e infracción de propiedad intelectual:** Imitan los productos, características y aplicaciones de Apple, o replican su enfoque de integración fluida de componentes.
3. **Colaboración y soluciones integradas:** Se asocian o colaboran entre sí para ofrecer soluciones integradas más competitivas.
4. **Modelos de negocio de contenido gratuito:** En servicios y contenidos, compiten ofreciendo contenidos de forma gratuita a los usuarios (así como frente a medios ilegítimos de obtención de contenidos y apps).
5. **Gamas más amplias de productos:** Ofrecen líneas de productos más diversas a precios inferiores para abarcar una mayor base instalada."
g-e02,extractiva,GOOGL,"Según el 10-K de FY2025 de Alphabet, ¿cómo describe el mercado de tecnología y servicios de IA?","AI technology and services are highly competitive, rapidly evolving, and require significant investment, including technical infrastructure, development, and operational costs.","En su informe 10-K para el ejercicio fiscal 2025 (Item 1A), Alphabet describe el mercado de tecnología y servicios de inteligencia artificial (IA) como altamente competitivo y en rápida evolución, señalando que exige una inversión sustancial en infraestructura técnica, desarrollo y costes operativos. Asimismo, destaca que su capacidad para desplegar tecnologías críticas de IA depende de la disponibilidad y precios de equipos de terceros y recursos de infraestructura (como capacidad de red y energía), y advierte de que los competidores pueden desarrollar soluciones similares o superiores, más rentables, u obtener derechos de propiedad intelectual y patentes que interfieran con sus propios productos y servicios de IA."
g-e03,extractiva,META,"¿Ha usado Meta derivados para cubrir su riesgo de tipo de cambio, según su 10-K de FY2024?","At this time, we have not entered into, but in the future we may enter into, derivatives or other financial instruments in an attempt to hedge our foreign currency exchange risk.","No. Según su informe 10-K para el ejercicio fiscal 2024 (Item 7A), Meta indicó que en ese momento no había contratado derivados ni otros instrumentos financieros para cubrir su riesgo de tipo de cambio, señalando únicamente que podría hacerlo en el futuro."
