id,familia,ticker,pregunta,respuesta_esperada,respuesta
g-n01,numerica,NVDA,¿Cuál fue el beneficio neto (net income) de NVIDIA en el ejercicio fiscal 2025?,"72,880,000,000 USD",El beneficio neto (Net Income) de NVIDIA en el ejercicio fiscal 2025 fue de 72.880 millones de dólares (72.880.000.000 USD).
g-n02,numerica,AAPL,¿Cuál fue el beneficio neto de Apple en el ejercicio fiscal 2025?,"112,010,000,000 USD",El beneficio neto de Apple Inc. (AAPL) en el ejercicio fiscal 2025 fue de 112.010.000.000 USD (112.010 millones de dólares).
g-n03,numerica,MSFT,¿Cuál fue el resultado operativo (operating income) de Microsoft en el ejercicio fiscal 2024?,"109,433,000,000 USD",El resultado operativo (Operating Income) de Microsoft en el ejercicio fiscal 2024 fue de 109.433 millones de dólares (109.433.000.000 USD).
g-n04,numerica,GOOGL,¿Cuáles fueron los ingresos totales (revenue) de Alphabet en el ejercicio fiscal 2025?,"402,836,000,000 USD",Los ingresos totales de Alphabet Inc. en el ejercicio fiscal 2025 fueron de 402.836.000.000 USD (aproximadamente 402.836 millones de dólares).
g-n05,numerica,AMZN,¿Cuál fue el beneficio neto de Amazon en el ejercicio fiscal 2025?,"77,670,000,000 USD",El beneficio neto (NetIncomeLoss) de Amazon en el ejercicio fiscal 2025 fue de 77.670 millones de dólares (77.670.000.000 USD).
g-n06,numerica,META,¿Cuánto gastó Meta en investigación y desarrollo (R&D) en el ejercicio fiscal 2024?,"43,873,000,000 USD","En el ejercicio fiscal 2024, Meta gastó 43.873 millones de dólares (43.873.000.000 USD) en investigación y desarrollo (R&D)."
g-n07,numerica,NVDA,¿Cuál fue el beneficio bruto (gross profit) de NVIDIA en el ejercicio fiscal 2025?,"97,858,000,000 USD",El beneficio bruto (gross profit) de NVIDIA en el ejercicio fiscal 2025 fue de 97.858 millones de dólares (97.858.000.000 USD).
g-e01,extractiva,AAPL,¿Qué estrategia de competencia describe Apple que usan algunos de sus competidores en su 10-K de FY2024?,"In contrast, many of the Company’s competitors seek to compete primarily through aggressive pricing and very low cost structures, and by imitating the Company’s products and infringing on its intellectual property.","En su informe 10-K para el ejercicio fiscal 2024 (Item 1A), Apple describe que muchos de sus competidores emplean las siguientes estrategias competitivas:

1. **Precios agresivos y estructuras de muy bajo coste:** Rebajan de forma agresiva los precios y reducen márgenes; algunos disponen de recursos, experiencia o estructuras de costes que les permiten ofrecer productos con poco o ningún margen de beneficio, o incluso con pérdidas.
2. **Imitación e infracción de propiedad intelectual:** Imitan los productos, características y aplicaciones de Apple, además de infringir sus patentes y derechos de propiedad intelectual.
3. **Colaboración e integración:** Colaboran entre sí para ofrecer soluciones integradas más competitivas e imitan la integración fluida de componentes de Apple.
4. **Modelos de negocio gratuitos:** En el segmento de servicios y contenidos, compite contra modelos de negocio que proporcionan contenidos a los usuarios de manera gratuita."
g-e02,extractiva,GOOGL,"Según el 10-K de FY2025 de Alphabet, ¿cómo describe el mercado de tecnología y servicios de IA?","AI technology and services are highly competitive, rapidly evolving, and require significant investment, including technical infrastructure, development, and operational costs.","En su informe 10-K para el ejercicio fiscal 2025 (Item 1A), Alphabet describe la tecnología y los servicios de IA como «altamente competitivos, que evolucionan con rapidez y requieren una inversión significativa, incluidos costos de infraestructura técnica, desarrollo y operativos» (""highly competitive, rapidly evolving, and require significant investment, including technical infrastructure, development, and operational costs""). Asimismo, señala que la implementación de estas tecnologías críticas depende de la disponibilidad y precios de equipos de terceros, capacidad de red y energía, y advierte sobre el riesgo de que competidores desarrollen soluciones similares o superiores, o más eficientes en costes."
g-e03,extractiva,META,"¿Ha usado Meta derivados para cubrir su riesgo de tipo de cambio, según su 10-K de FY2024?","At this time, we have not entered into, but in the future we may enter into, derivatives or other financial instruments in an attempt to hedge our foreign currency exchange risk.","No. Según el informe 10-K del ejercicio fiscal 2024 (Item 7A), Meta señala explícitamente que hasta ese momento no ha contratado derivados ni otros instrumentos financieros para cubrir su riesgo de tipo de cambio, aunque contempla la posibilidad de utilizarlos en el futuro."
